LDA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
27,20,3,8,6,16,20,46,2,3,4,1,3,5,1,27,3,2,1,0,13,2,1,1,4,2,1,0,0,0,0,2,0,0,0,3,0,0,1,1,1,1,0,0,0,0,16,2,1,2,0,0,5,0,0,0,0,0,2,1,8,0,1,0,3,0,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
28,0,8,1,0,2,2,1,6,0,0,0,4,0,1,2,0,1,4,2,0,0,3,0,2,1,0,5,1,0,0,0,0,0,1,2,0,1,1,0,1,1,0,2,0,0,1,0,3,0,2,9,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
29,47,15,29,29,63,44,29,27,10,4,11,18,14,11,40,10,6,24,86,21,62,12,22,20,2,60,7,14,11,0,6,4,0,14,54,4,4,7,9,57,13,3,6,2,4,5,5,4,2,21,7,17,31,0,9,2,3,8,1,6,1,1,4,3,8,5,34,4,4,9,19,0,5,1,5,5,4,30,9,1,1,20,1,20,3,8,4,2,0,0,0,1,0,1
30,4,0,15,12,36,5,0,3,0,0,7,7,15,54,1,1,2,2,5,1,2,1,4,3,0,5,0,0,2,0,2,0,0,2,2,2,2,11,0,1,2,3,1,2,3,19,0,0,0,1,2,2,0,0,1,3,5,0,0,2,1,15,0,0,1,11,0,9,0,0,1,0,0,0,0,0,1,0,0,1,3,2,0,0,11,0,1,0,0,1,0,0,0,0
31,3,2,336,23,6,3,1,8,0,0,0,43,4,3,17,0,0,18,1,1,35,4,1,16,1,4,1,3,1,0,96,9,0,1,3,1,46,1,1,0,1,0,1,0,1,0,0,6,0,0,3,0,2,0,4,1,0,4,0,3,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,2,0,1,0,0,0,0,14,1,0,0
32,308,3,1,5,8,14,2,2,0,1,194,2,21,0,3,0,87,3,7,1,1,0,0,0,0,4,0,3,1,0,2,0,0,15,0,0,0,3,1,2,0,2,2,12,3,1,1,4,1,1,0,3,0,0,1,2,2,0,22,0,0,1,0,0,1,1,1,3,0,2,0,0,0,2,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,1,1,0
33,9,4,15,15,4,18,4,12,9,2,2,0,8,10,3,7,0,4,5,3,7,2,3,0,1,36,3,6,0,0,2,2,0,6,6,0,0,1,1,1,0,47,0,1,2,3,1,0,2,0,1,0,0,0,0,0,12,2,0,0,0,4,0,1,1,4,0,8,2,0,1,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
34,5,3,5,2,11,5,5,11,1,2,8,1,1,5,3,0,1,4,5,10,1,1,8,3,2,5,0,10,5,0,0,1,0,4,1,0,0,3,0,1,1,0,0,1,4,0,2,0,0,2,1,1,6,1,2,0,0,1,1,1,0,0,0,1,4,0,1,1,0,0,4,0,1,0,3,0,0,1,0,0,1,2,0,2,0,0,0,0,0,0,1,0,0,0
35,13,2,4,4,18,10,7,9,4,10,7,5,1,7,2,6,3,7,9,13,7,3,10,3,0,7,0,2,7,0,0,0,0,8,19,0,0,1,6,9,10,3,2,2,1,2,3,0,3,0,2,5,3,0,2,0,0,0,0,1,0,2,1,0,2,3,6,1,5,1,2,0,2,0,1,3,1,0,2,0,8,1,0,3,0,0,2,1,0,1,0,0,0,0
36,6,1,0,3,3,3,4,18,2,1,0,1,2,2,1,1,0,1,0,5,2,12,9,4,1,2,2,0,3,0,0,0,0,0,0,0,1,0,1,2,2,1,4,0,5,0,0,0,18,0,3,0,0,0,1,0,0,2,1,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,6,1,5,0,0,3,0,0,56,1,0,1,0,20,0,34,0,0,1,6
